,Nuclear,NaturalGas_Conv,Curtailment,LoadLoss
0,500.0,317.8909348476958,0.0,0
1,500.0,324.9300815678222,0.0,0
2,500.0,314.9808541614377,0.0,0
3,500.0,284.455844652844,0.0,0
4,500.0,283.0374913780654,0.0,0
5,500.0,312.48916415090207,0.0,0
6,500.0,226.8317945743687,0.0,0
7,500.0,276.1386373029793,0.0,0
8,500.0,236.79179103515355,0.0,0
9,500.0,290.1333348956264,0.0,0
10,500.0,293.9878326549157,0.0,0
11,500.0,351.7467527474663,0.0,0
12,500.0,335.30934687522085,0.0,0
13,500.0,385.9171533477379,0.0,0
14,500.0,375.07551531869353,0.0,0
15,500.0,377.6478030299113,0.0,0
16,500.0,441.25418269252157,0.0,0
17,500.0,474.7398631632856,0.0,0
18,500.0,454.567301174161,0.0,0
19,500.0,422.07216914639537,0.0,0
20,500.0,435.98900526470595,0.0,0
21,500.0,429.83849000492444,0.0,0
22,500.0,417.8379791511653,0.0,0
23,500.0,350.5253158252691,0.0,0
24,500.0,360.9605059792369,0.0,0
25,500.0,330.20322017340436,0.0,0
26,500.0,300.63936734351466,0.0,0
27,500.0,282.64433548716147,0.0,0
28,500.0,255.5252169876528,0.0,0
29,500.0,248.32825594423537,0.0,0
30,500.0,283.1565468990548,0.0,0
31,500.0,267.4804656626849,0.0,0
32,500.0,264.2507426076369,0.0,0
33,500.0,242.54355040654946,0.0,0
34,500.0,293.5185321925758,0.0,0
35,500.0,323.98941148591894,0.0,0
36,500.0,334.1463303045274,0.0,0
37,500.0,357.70298353559417,0.0,0
38,500.0,420.746506243048,0.0,0
39,500.0,419.3442002784508,0.0,0
40,500.0,405.92605838448776,0.0,0
41,500.0,420.9333128973641,0.0,0
42,500.0,442.2139016765577,0.0,0
43,500.0,464.1516484225459,0.0,0
44,500.0,403.8792697997617,0.0,0
45,500.0,445.97884077966216,0.0,0
46,500.0,386.304481489856,0.0,0
47,500.0,339.88372705225413,0.0,0
48,500.0,357.2317957152113,0.0,0
49,500.0,350.56361575716824,0.0,0
50,500.0,297.3740934170388,0.0,0
51,500.0,295.538624720961,0.0,0
52,500.0,264.0224678268835,0.0,0
53,500.0,262.3842599154523,0.0,0
54,500.0,292.95196117868124,0.0,0
55,500.0,283.89464606001,0.0,0
56,500.0,255.90321252416834,0.0,0
57,500.0,348.212029811378,0.0,0
58,500.0,297.2460264630786,0.0,0
59,500.0,356.2471887610668,0.0,0
60,500.0,374.515531370846,0.0,0
61,500.0,387.7915669905793,0.0,0
62,500.0,415.1807091700117,0.0,0
63,500.0,426.4781369107185,0.0,0
64,500.0,458.51665246747336,0.0,0
65,500.0,436.5630572862816,0.0,0
66,500.0,428.6953331385048,0.0,0
67,500.0,454.15227848719996,0.0,0
68,500.0,466.2436087027834,0.0,0
69,500.0,413.977032872936,0.0,0
70,500.0,427.6361777486758,0.0,0
71,500.0,370.2388016348257,0.0,0
72,500.0,376.64441870498786,0.0,0
73,500.0,341.5778657494782,0.0,0
74,500.0,311.78549066848484,0.0,0
75,500.0,301.98832863019743,0.0,0
76,500.0,256.04721247683347,0.0,0
77,500.0,267.1378756596081,0.0,0
78,500.0,235.59240835213404,0.0,0
79,500.0,238.00058316153707,0.0,0
80,500.0,301.2381851940453,0.0,0
81,500.0,298.66341079496135,0.0,0
82,500.0,341.9546323085756,0.0,0
83,500.0,349.5000929562236,0.0,0
84,500.0,357.3438711490237,0.0,0
85,500.0,450.4922566139419,0.0,0
86,500.0,443.4253347693059,0.0,0
87,500.0,438.2549592228298,0.0,0
88,500.0,447.8174282301537,0.0,0
89,500.0,484.8998435340119,0.0,0
90,500.0,447.58829165149257,0.0,0
91,500.0,475.8573387673132,0.0,0
92,500.0,446.9558515733936,0.0,0
93,500.0,392.0980175690605,0.0,0
94,500.0,409.53177881890565,0.0,0
95,500.0,392.70855643276343,0.0,0
96,500.0,357.3418139696007,0.0,0
97,500.0,341.5800234084471,0.0,0
98,500.0,328.30222532106814,0.0,0
99,500.0,276.1859471898956,0.0,0
100,500.0,316.22898430742566,0.0,0
101,500.0,271.1652141764695,0.0,0
102,500.0,284.6676656761813,0.0,0
103,500.0,246.42280786009508,0.0,0
104,500.0,308.4249028598333,0.0,0
105,500.0,321.1844566168078,0.0,0
106,500.0,318.5607873714483,0.0,0
107,500.0,366.6850362918401,0.0,0
108,500.0,388.20527331358767,0.0,0
109,500.0,421.3253402974028,0.0,0
110,500.0,436.98673306874366,0.0,0
111,500.0,429.92633614651743,0.0,0
112,500.0,452.9657884680297,0.0,0
113,500.0,425.3647966550733,0.0,0
114,500.0,456.7563119849125,0.0,0
115,500.0,439.2093376159719,0.0,0
116,500.0,455.7769486984263,0.0,0
117,500.0,442.69182941028384,0.0,0
118,500.0,407.55076290659656,0.0,0
119,500.0,336.4781251688006,0.0,0
120,500.0,356.62797125500344,0.0,0
121,500.0,302.62868114320315,0.0,0
122,500.0,311.1847027896397,0.0,0
123,500.0,289.65420840620277,0.0,0
124,500.0,255.24721667737788,0.0,0
125,500.0,246.20778433716362,0.0,0
126,500.0,288.6507567780699,0.0,0
127,500.0,320.93234711621017,0.0,0
128,500.0,294.00363687602385,0.0,0
129,500.0,319.9007756998907,0.0,0
130,500.0,325.831061752207,0.0,0
131,500.0,355.51671339864663,0.0,0
132,500.0,353.89658595953836,0.0,0
133,500.0,410.46265764114787,0.0,0
134,500.0,433.01864188002685,0.0,0
135,500.0,439.80630800522874,0.0,0
136,500.0,458.35645403031106,0.0,0
137,500.0,454.14503108645897,0.0,0
138,500.0,484.1249525278803,0.0,0
139,500.0,449.17620649773426,0.0,0
140,500.0,441.5075372249637,0.0,0
141,500.0,435.80003420105834,0.0,0
142,500.0,398.9429846626773,0.0,0
143,500.0,378.71705288759256,0.0,0
144,500.0,312.1969811498435,0.0,0
145,500.0,318.86167595354596,0.0,0
146,500.0,339.6417668613059,0.0,0
147,500.0,295.36873419065614,0.0,0
148,500.0,297.2764231319534,0.0,0
149,500.0,281.58249382954875,0.0,0
150,500.0,312.3342237837576,0.0,0
151,500.0,271.77439385860146,0.0,0
152,500.0,285.38597863559005,0.0,0
153,500.0,332.4070322774478,0.0,0
154,500.0,357.6295000306643,0.0,0
155,500.0,373.3934572622661,0.0,0
156,500.0,397.7191985250756,0.0,0
157,500.0,402.74489667216903,0.0,0
158,500.0,454.79532695131036,0.0,0
159,500.0,451.42842024541017,0.0,0
160,500.0,470.0125445032761,0.0,0
161,500.0,455.2234446684449,0.0,0
162,500.0,500.0,0.0,0
163,500.0,443.69638316228986,0.0,0
164,500.0,440.49791858390904,0.0,0
165,500.0,397.135155291793,0.0,0
166,500.0,379.90878966289915,0.0,0
167,500.0,369.9540895445467,0.0,0
