EG,mass snf hlw disposal [t/GWe-yr],activity at 100 yrs [Ci/GWe-yr],activity at 100k years [Ci/GWe-yr],mass du ru rth disposal [t/GWe-yr],volume llw disposal [m3],safety challenges [Data],land use [km2/GWe-yr],water use [ML/GWe-yr],carbon dioxide emissions [CO2/GWe-yr],total worker dose [person-mSv/GWe-yr],natural uranium required [t/GWe-yr],natural thorium utilization [t/GWe-yr],development cost [Data],development time [Data],foak cost [Data],incompatibility [Data],unfamiliarity [Data]
EG01,21.92,1340000.0,1650.0,166.67,398.84,0.0,0.175,23891.0,44.1,1.1,188.63,0.0,0.0,0.0,0.0,0.0,0.0
EG02,9.22,1430000.0,2050.0,296.48,414.23,0.0,0.21,23994.0,54.9,1.28,305.73,0.0,1.0,1.0,1.0,0.0,0.0
EG03,147.57,1340000.0,2460.0,0.0,373.0,0.0,0.247,23924.0,87.1,2.41,147.87,0.0,0.0,0.0,0.0,1.0,1.0
EG04,3.99,805000.0,1640.0,0.0,278.6,0.0,0.082,23706.0,13.5,1.22,4.0,0.0,2.0,2.0,2.0,2.0,2.0
EG05,11.41,1390000.0,7380.0,282.41,412.58,0.0,0.206,23981.0,53.9,1.27,289.2,4.65,1.0,1.0,1.0,3.0,3.0
EG06,9.86,1770000.0,13000.0,0.0,835.32,1.0,0.119,31308.0,59.1,2.81,0.0,9.88,3.0,2.0,3.0,2.0,3.0
EG07,31.97,1780000.0,9480.0,0.0,342.2,1.0,0.167,37831.0,45.7,4.54,32.03,0.0,3.0,2.0,3.0,2.0,3.0
EG08,1.62,909000.0,1690.0,0.0,826.47,1.0,0.109,33640.0,25.4,2.93,0.0,1.62,3.0,2.0,3.0,2.0,3.0
EG09,2.24,882000.0,942.0,0.0,359.0,0.0,0.081,23709.0,17.5,1.21,2.25,0.0,3.0,2.0,4.0,2.0,3.0
EG10,10.84,1420000.0,10800.0,0.0,2796.69,0.0,0.098,23767.0,79.5,0.61,0.0,10.86,3.0,2.0,4.0,2.0,3.0
EG11,4.54,1020000.0,9140.0,104.29,401.01,0.0,0.126,23810.0,31.8,1.4,106.8,2.05,3.0,2.0,4.0,2.0,3.0
EG12,7.27,1400000.0,1420.0,104.96,1646.12,0.0,0.137,23912.0,113.3,2.02,112.46,0.0,4.0,3.0,3.0,1.0,2.0
EG13,3.42,1330000.0,1320.0,167.69,621.88,0.0,0.156,23897.0,52.7,1.12,171.16,0.0,4.0,3.0,3.0,3.0,2.0
EG14,8.34,1140000.0,1240.0,0.0,618.99,0.0,0.094,23728.0,28.5,1.18,8.38,0.0,2.0,2.0,4.0,1.0,2.0
EG15,2.11,1240000.0,1140.0,169.81,611.53,0.0,0.149,23881.0,48.8,1.12,171.96,0.0,2.0,2.0,3.0,3.0,2.0
EG16,1.52,1260000.0,1030.0,175.99,630.76,1.0,0.152,24495.0,50.9,1.26,177.56,0.0,3.0,2.0,4.0,3.0,3.0
EG17,3.37,1330000.0,3090.0,170.88,624.09,0.0,0.151,23883.0,49.9,1.1,172.41,1.88,2.0,2.0,4.0,3.0,3.0
EG18,6.95,1450000.0,6950.0,148.6,567.72,0.0,0.147,23861.0,43.9,1.04,152.16,3.42,3.0,2.0,4.0,3.0,3.0
EG19,2.59,1140000.0,765.0,65.54,2134.12,0.0,0.121,23897.0,127.9,2.04,68.41,0.0,4.0,3.0,3.0,1.0,2.0
EG20,2.61,1050000.0,557.0,69.36,2343.8,0.0,0.123,23909.0,134.9,2.06,72.26,0.0,3.0,2.0,4.0,1.0,3.0
EG21,1.46,1140000.0,800.0,157.51,678.04,0.0,0.143,23874.0,51.1,1.05,159.02,0.0,4.0,3.0,3.0,3.0,2.0
EG22,1.39,994000.0,581.0,175.42,691.19,0.0,0.15,23891.0,53.3,1.08,176.86,0.0,3.0,2.0,4.0,3.0,3.0
EG23,1.31,1030000.0,728.0,0.0,549.49,0.0,0.081,23717.0,24.1,1.21,1.34,0.0,2.0,2.0,3.0,2.0,2.0
EG24,1.34,1040000.0,606.0,0.0,561.42,0.0,0.082,23717.0,24.1,1.21,1.37,0.0,3.0,2.0,4.0,2.0,3.0
EG25,1.51,1300000.0,864.0,112.81,853.46,0.0,0.128,23839.0,51.5,0.95,113.54,0.85,3.0,2.0,4.0,2.0,3.0
EG26,1.25,1300000.0,1370.0,0.0,2830.6,0.0,0.086,23762.0,77.3,0.55,0.0,1.25,3.0,2.0,4.0,2.0,3.0
EG27,2.25,1300000.0,3620.0,184.74,1160.73,0.0,0.16,23909.0,67.3,1.54,186.62,0.45,3.0,2.0,4.0,2.0,3.0
EG28,1.58,1180000.0,3010.0,0.0,1168.72,0.0,0.086,23748.0,50.1,1.24,0.0,1.68,3.0,2.0,4.0,2.0,3.0
EG29,1.45,1130000.0,917.0,0.0,662.22,0.0,0.083,23725.0,30.5,1.02,1.49,0.0,2.0,2.0,4.0,1.0,2.0
EG30,1.3,954000.0,571.0,0.0,602.99,0.0,0.081,23719.0,26.1,1.14,1.33,0.0,3.0,2.0,4.0,1.0,3.0
EG31,1.37,1180000.0,697.0,136.55,567.85,0.0,0.134,23847.0,42.7,1.13,137.96,0.0,2.0,2.0,3.0,1.0,2.0
EG32,1.32,1080000.0,519.0,127.15,579.27,0.0,0.13,23838.0,41.6,1.13,128.5,0.0,3.0,2.0,4.0,1.0,3.0
EG33,1.59,1220000.0,879.0,0.0,753.51,1.0,0.095,27521.0,39.1,2.84,1.64,0.0,3.0,2.0,4.0,1.0,3.0
EG34,1.5,1070000.0,669.0,0.0,696.42,1.0,0.093,27104.0,38.2,2.7,1.55,0.0,5.0,2.0,4.0,1.0,3.0
EG35,1.42,1200000.0,741.0,163.92,621.45,1.0,0.149,24957.0,49.5,1.43,165.37,0.0,3.0,2.0,4.0,3.0,3.0
EG36,1.39,1020000.0,535.0,149.1,735.16,1.0,0.14,23887.0,49.7,1.14,150.54,0.0,5.0,2.0,4.0,3.0,3.0
EG37,1.33,1120000.0,762.0,23.42,624.52,0.0,0.091,23717.0,31.9,1.01,24.36,0.43,3.0,2.0,4.0,1.0,3.0
EG38,1.79,1270000.0,3170.0,0.0,1518.73,1.0,0.09,23770.0,67.0,1.18,0.0,1.93,3.0,2.0,4.0,1.0,3.0
EG39,1.4,1300000.0,763.0,114.17,677.49,1.0,0.13,24623.0,41.7,1.14,114.85,0.75,5.0,2.0,4.0,3.0,3.0
EG40,1.47,1490000.0,1280.0,0.0,592.98,1.0,0.094,27306.0,29.4,1.49,0.0,1.51,5.0,2.0,4.0,3.0,3.0
